City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
509,vestmanna,62.1564,-7.1664,65.32,55,100,17.27,FO,1628352979
510,bulancak,40.9372,38.2291,75.02,88,75,8.05,TR,1628352979
511,deputatskiy,69.3,139.9,43.86,82,26,2.44,RU,1628352980
512,smithers,54.7804,-127.1743,55.72,76,75,2.3,CA,1628352980
513,sur,22.5667,59.5289,92.3,52,98,10.0,OM,1628352980
514,pacific grove,36.6177,-121.9166,71.62,86,75,3.0,US,1628352982
515,yabassi,4.457,9.9682,73.18,97,99,3.96,CM,1628352982
516,mabaruma,8.2,-59.7833,89.11,57,20,5.91,GY,1628352982
517,karratha,-20.7377,116.8463,70.7,68,91,6.15,AU,1628352983
518,iquique,-20.2208,-70.1431,60.84,65,14,6.87,CL,1628352743
519,unai,-16.3575,-46.9061,76.3,37,100,8.97,BR,1628352983
520,cockburn town,21.4612,-71.1419,85.96,66,40,10.36,TC,1628352984
521,dakar,14.6937,-17.4441,87.93,66,40,11.5,SN,1628352984
522,santa maria,-29.6842,-53.8069,79.9,44,0,12.66,BR,1628352927
523,caravelas,-17.7125,-39.2481,72.09,74,99,8.23,BR,1628352984
524,santa isabel,-23.3156,-46.2214,74.41,48,65,2.48,BR,1628352985
525,pitimbu,-7.4706,-34.8086,82.99,69,95,20.42,BR,1628352985
526,beloha,-25.1667,45.05,67.26,73,0,6.33,MG,1628352987
527,luebo,-5.35,21.4167,91.0,16,100,1.83,CD,1628352988
528,mamallapuram,12.6264,80.1722,87.85,72,93,15.88,IN,1628352988
529,nioro,13.35,-15.75,84.47,69,91,8.01,GM,1628352988
530,mackenzie,55.2999,-123.1698,55.62,62,90,8.05,CA,1628352988
531,nan,18.8333,100.6667,74.28,97,89,1.32,TH,1628352989
532,zhigansk,66.7697,123.3711,61.09,47,93,9.8,RU,1628352989
533,hashtrud,37.4779,47.0508,76.23,39,72,0.72,IR,1628352990
534,zalantun,48.0,122.7167,65.64,86,8,1.32,CN,1628352990
535,villacidro,39.4578,8.7406,88.52,28,0,6.38,IT,1628352991
536,soyo,-6.1349,12.3689,75.31,74,91,8.9,AO,1628352991
537,zhoukou,33.6333,114.6333,76.86,91,0,5.93,CN,1628352991
538,butembo,0.15,29.2833,61.16,89,66,2.84,CD,1628352992
539,paita,-5.0892,-81.1144,68.56,69,55,11.79,PE,1628352993
540,horki,54.2861,30.9842,64.65,68,87,12.21,BY,1628352993
541,vanderhoof,54.0166,-124.0198,58.51,59,28,8.25,CA,1628352994
542,rawson,-43.3002,-65.1023,53.02,29,0,28.66,AR,1628352994
543,fuyang,32.9,115.8167,75.29,92,0,5.88,CN,1628352994
544,villamontes,-21.25,-63.5,92.25,20,5,4.47,BO,1628352995
545,carballo,43.213,-8.691,72.82,73,34,7.74,ES,1628352995
546,wanning,18.8003,110.3967,81.93,86,100,4.38,CN,1628352995
547,sribne,50.6638,32.9187,73.89,48,95,9.6,UA,1628352996
548,san carlos de bariloche,-41.1456,-71.3082,40.75,42,40,18.41,AR,1628352996
549,fraga,41.5229,0.3489,89.58,19,68,16.98,ES,1628352997
550,palm beach gardens,26.8234,-80.1386,93.94,84,75,10.36,US,1628352907
551,quincy,42.2529,-71.0023,89.58,62,75,4.0,US,1628352949
552,qasigiannguit,68.8193,-51.1922,52.05,60,100,6.62,GL,1628352998
553,ocampo,21.65,-101.5,64.9,66,60,8.21,MX,1628352999
554,pozo colorado,-23.4923,-58.7972,92.61,17,1,12.37,PY,1628352999
555,fort frances,48.5999,-93.4003,70.16,77,90,10.36,CA,1628352878
556,shubarkuduk,49.1447,56.4872,82.06,27,1,8.16,KZ,1628353000
557,itarema,-2.9248,-39.9167,90.82,43,18,17.36,BR,1628353000
558,oranjemund,-28.55,16.4333,62.29,57,21,5.7,NA,1628353000
559,kokopo,-4.352,152.2633,76.69,83,67,5.99,PG,1628353001
560,osa,57.2829,55.4567,59.27,69,26,4.12,RU,1628352733
561,ambon,-3.6954,128.1814,75.34,94,40,11.5,ID,1628353001
562,kiama,-34.6833,150.8667,49.44,75,97,9.64,AU,1628353002
